vid,ts,lat,lon,speed
X0997116,2020-01-28 10:31:10,13.71705,100.79973299999999,0
X0997116,2020-01-28 10:32:06,13.716083,100.79925,10
X0997116,2020-01-28 10:32:06,13.716083,100.79925,10
X0997116,2020-01-28 10:33:09,13.7156,100.7989,0
X0997116,2020-01-28 10:33:45,13.7156,100.7989,0
X0997116,2020-01-28 10:33:45,13.7156,100.7989,0
X0997116,2020-01-28 10:33:45,13.7156,100.7989,0
X0997116,2020-01-28 10:35:42,13.715617000000002,100.7989,0
X0997116,2020-01-28 10:35:42,13.715617000000002,100.7989,0
X0997116,2020-01-28 10:37:39,13.715617000000002,100.798917,0
X0997116,2020-01-28 10:37:39,13.715617000000002,100.798917,0
X0997116,2020-01-28 10:43:53,13.715632999999999,100.79895,0
X0997116,2020-01-28 10:45:50,13.715632999999999,100.798967,0
X0997116,2020-01-28 10:49:43,13.715632999999999,100.79895,0
X0997116,2020-01-28 10:49:43,13.715632999999999,100.79895,0
X0997116,2020-01-28 10:51:50,13.715632999999999,100.79895,0
X0997116,2020-01-28 10:53:46,13.715632999999999,100.79895,0
X0997116,2020-01-28 10:53:46,13.715632999999999,100.79895,0
X0997116,2020-01-28 10:55:53,13.71565,100.79893299999999,0
X0997116,2020-01-28 10:55:53,13.71565,100.79893299999999,0
X0997116,2020-01-28 10:57:50,13.71565,100.79893299999999,0
X0997116,2020-01-28 10:57:50,13.71565,100.79893299999999,0
X0997116,2020-01-28 10:57:50,13.71565,100.79893299999999,0
X0997116,2020-01-28 10:59:56,13.71565,100.79893299999999,0
X0997116,2020-01-28 11:01:56,13.71565,100.79893299999999,0
X0997116,2020-01-28 11:01:56,13.71565,100.79893299999999,0
X0997116,2020-01-28 11:04:06,13.715632999999999,100.79893299999999,0
X0997116,2020-01-28 11:06:02,13.715632999999999,100.79893299999999,0
X0997116,2020-01-28 11:10:07,13.715617000000002,100.79895,0
X0997116,2020-01-28 11:10:07,13.715617000000002,100.79895,0
X0997116,2020-01-28 11:12:10,13.7156,100.79895,0
X0997116,2020-01-28 11:14:07,13.7156,100.79893299999999,0
X0997116,2020-01-28 11:14:07,13.7156,100.79893299999999,0
X0997116,2020-01-28 11:16:05,13.7156,100.79893299999999,0
X0997116,2020-01-28 11:16:05,13.7156,100.79893299999999,0
X0997116,2020-01-28 11:16:05,13.7156,100.79893299999999,0
X0997116,2020-01-28 11:18:12,13.7156,100.798917,0
X0997116,2020-01-28 11:19:48,13.7156,100.798917,0
X0997116,2020-01-28 11:20:01,13.7156,100.798917,0
X0997116,2020-01-28 11:20:54,13.7156,100.798917,0
X0997116,2020-01-28 11:21:29,13.7156,100.798917,0
X0997116,2020-01-28 11:21:29,13.7156,100.798917,0
X0997116,2020-01-28 11:21:29,13.7156,100.798917,0
X0997116,2020-01-28 11:31:25,13.715617000000002,100.7989,0
X0997116,2020-01-28 11:31:25,13.715617000000002,100.7989,0
X0997116,2020-01-28 11:31:25,13.715617000000002,100.7989,0
X0997116,2020-01-28 11:31:25,13.715617000000002,100.7989,0
X0997116,2020-01-28 11:31:25,13.715617000000002,100.7989,0
X0997116,2020-01-28 11:31:25,13.715617000000002,100.7989,0
X0997116,2020-01-28 11:36:32,13.715617000000002,100.7989,0
X0997116,2020-01-28 11:36:32,13.715617000000002,100.7989,0
X0997116,2020-01-28 11:40:47,13.7156,100.798917,0
X0997116,2020-01-28 11:42:18,13.7161,100.79965,0
X0997116,2020-01-28 11:43:13,13.716833,100.799867,5
X0997116,2020-01-28 11:44:37,13.71705,100.799983,0
X0997116,2020-01-28 11:45:13,13.71705,100.799983,0
X0997116,2020-01-28 11:45:13,13.71705,100.799983,0
X0997116,2020-01-28 11:52:25,13.71915,100.797833,16
X0997116,2020-01-28 11:53:20,13.720082999999999,100.795333,19
X0997116,2020-01-28 11:53:20,13.720082999999999,100.795333,19
X0997116,2020-01-28 11:54:26,13.7212,100.79226700000001,18
X0997116,2020-01-28 11:58:19,13.721867000000001,100.78433299999999,0
X0997116,2020-01-28 12:03:17,13.721732999999999,100.773767,13
X0997116,2020-01-28 12:03:17,13.721732999999999,100.773767,13
X0997116,2020-01-28 12:06:15,13.721617000000002,100.76191700000001,29
X0997116,2020-01-28 12:07:22,13.72155,100.75573299999999,38
X0997116,2020-01-28 12:10:19,13.72245,100.74198299999999,31
X0997116,2020-01-28 12:14:16,13.722267,100.73066700000001,28
X0997116,2020-01-28 12:15:23,13.722133,100.726783,11
X0997116,2020-01-28 12:16:18,13.722017000000001,100.7236,29
X0997116,2020-01-28 12:16:18,13.722017000000001,100.7236,29
X0997116,2020-01-28 12:24:58,13.720867000000002,100.690967,26
X0997116,2020-01-28 12:25:54,13.72075,100.6881,30
X0997116,2020-01-28 12:25:54,13.72075,100.6881,30
X0997116,2020-01-28 12:27:00,13.720482999999998,100.683817,26
X0997116,2020-01-28 12:29:58,13.71865,100.668183,29
X0997116,2020-01-28 12:30:53,13.7176,100.661783,59
X0997116,2020-01-28 12:32:55,13.715682999999999,100.65051700000001,48
X0997116,2020-01-28 12:34:57,13.711917000000001,100.641,31
X0997116,2020-01-28 12:35:53,13.711367000000001,100.6388,0
X0997116,2020-01-28 12:35:53,13.711367000000001,100.6388,0
X0997116,2020-01-28 12:37:54,13.71055,100.6338,24
X0997116,2020-01-28 12:37:54,13.71055,100.6338,24
X0997116,2020-01-28 12:45:00,13.710982999999999,100.61058299999999,17
X0997116,2020-01-28 12:45:00,13.710982999999999,100.61058299999999,17
X0997116,2020-01-28 12:51:55,13.710817,100.59795,0
X0997116,2020-01-28 12:53:41,13.71085,100.598,0
X0997116,2020-01-28 12:54:16,13.710783,100.598017,0
X0997116,2020-01-28 13:00:58,13.710132999999999,100.601833,15
X0997116,2020-01-28 13:02:13,13.7113,100.603483,23
X0997116,2020-01-28 13:02:13,13.7113,100.603483,23
X0997116,2020-01-28 13:03:02,13.712117000000001,100.60548299999999,17
X0997116,2020-01-28 13:08:54,13.709233,100.620717,32
X0997116,2020-01-28 13:10:00,13.70955,100.623867,10
X0997116,2020-01-28 13:12:59,13.71125,100.637967,19
X0997116,2020-01-28 13:15:17,13.713067,100.6436,13
X0997116,2020-01-28 13:19:41,13.716332999999999,100.6534,16
